Fabricante,Modelo,Precio,Moneda,Link
TCL,10 Pro,550.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/tcl-10-pro
LG,K71,510.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/lg-k71
Samsung,SM-A515F,420.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/samsung-sm-a515f
Samsung,SM-A315G,375.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/samsung-sm-a315g
LG,K62,370.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/lg-k62
TCL,T770B,315.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/tcl-t770b
TCL,10L,315.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/tcl-10l
TCL,T766J,310.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/tcl-t766j
Samsung,SM-A21,299.0,USD,http://www.etecsa.cu/es/equipos-accesorios/telefonos-moviles/samsung-sm-a21
TCL,T766A,245.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/tcl-t766a
LG,K41S,231.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/lg-k41s
Alcatel,5029E,200.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/alcatel-5029e-0
Mobo,Active,95.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/accesorios/mobo-active
Mobo,Strong,52.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/accesorios/mobo-strong
Mobo,Cronos,24.0,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/accesorios/mobo-cronos
